ID,technology,source,source_type,year,type,country,capacity_definition,comment,capacity,energy_source_level_0,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology_level
3680,Solar,EUROSTAT,"Statistical Office",1994,"Installed capacity in MW",DE,Unknown,,12,0,0,1,1,0
3681,"Differently categorized wind",EUROSTAT,"Statistical Office",1994,"Installed capacity in MW",DE,Unknown,,643,0,0,0,0,1
3682,"Bioenergy and renewable waste",EUROSTAT,"Statistical Office",1994,"Installed capacity in MW",DE,Unknown,,168,0,0,1,0,0
3683,"Renewable energy sources",EUROSTAT,"Statistical Office",1994,"Installed capacity in MW",DE,Unknown,,9662,0,1,0,0,0
3684,"Differently categorized fossil fuels",EUROSTAT,"Statistical Office",1994,"Installed capacity in MW",DE,Unknown,,81529,0,0,1,1,1
3685,Total,EUROSTAT,"Statistical Office",1994,"Installed capacity in MW",DE,Unknown,,114823,1,0,0,0,0
3686,"Biomass and biogas",EUROSTAT,"Statistical Office",1995,"Installed capacity in MW",DE,Unknown,,229,0,0,0,1,1
3687,"Concentrated solar power",EUROSTAT,"Statistical Office",1995,"Installed capacity in MW",DE,Unknown,,0,0,0,0,0,1
3688,"Fossil fuels",EUROSTAT,"Statistical Office",1995,"Installed capacity in MW",DE,Unknown,,83053,0,1,0,0,0
3689,Geothermal,EUROSTAT,"Statistical Office",1995,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
3690,Hydro,EUROSTAT,"Statistical Office",1995,"Installed capacity in MW",DE,Unknown,,8876,0,0,1,1,0
3691,Marine,EUROSTAT,"Statistical Office",1995,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
3692,"Non-renewable waste",EUROSTAT,"Statistical Office",1995,"Installed capacity in MW",DE,Unknown,,1003,0,0,1,1,1
3693,Nuclear,EUROSTAT,"Statistical Office",1995,"Installed capacity in MW",DE,Unknown,,22834,0,1,1,1,1
3694,"Other bioenergy and renewable waste",EUROSTAT,"Statistical Office",1995,"Installed capacity in MW",DE,Unknown,,79,0,0,0,1,1
3695,Photovoltaics,EUROSTAT,"Statistical Office",1995,"Installed capacity in MW",DE,Unknown,,18,0,0,0,0,1
3696,"Pumped storage",EUROSTAT,"Statistical Office",1995,"Installed capacity in MW",DE,Unknown,,4528,0,0,0,0,1
3697,Wind,EUROSTAT,"Statistical Office",1995,"Installed capacity in MW",DE,Unknown,,1137,0,0,1,1,0
3698,"Differently categorized solar",EUROSTAT,"Statistical Office",1995,"Installed capacity in MW",DE,Unknown,,0,0,0,0,0,1
